Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Morristown LCD,136 County Route #2,,Brier Hill,NY,13614,St. Lawrence,6,3153756563,Town of Morristown,Municipal,Landfill - land clearing debris,[45D03],Yes,448267,4931609,4.2 - Utilization of GIS and existing spatial data,Wood (Trees/Stumps),45D03,04/23/2004,,"136 County Route #2
Brier Hill, NY 13614
(44.53422, -75.65888)"
Town of Trenton Transfer Station,224 Veteran's Way,,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,Transfer facility - less than 50 tpd - registration,[33T10025],Yes,484637,4789620,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Sludge (Industrial);Metals (Ferrous & Non-Ferrous);Single Stream;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Commingled Plastics;Electronics;Waste Tires,33T10025,07/29/2021,07/28/2026,
City of Dunkirk DPW Recycling,77 West Lucas Avenue,,Dunkirk,NY,14048,Chautauqua,9,7163664411,City of Dunkirk DPW,Municipal,RHRF - 5 tpd or less - registration,[07R10063],Yes,143416,4711545,4.2 - Utilization of GIS and existing spatial data,Commingled Containers;Commingled Paper;Other Non-Ferrous Scrap Metal;Enameled Appliances / White Goods;Other Ferrous Scrap Metal;Container Glass,07R10063,02/27/2023,02/27/2028,"77 West Lucas Avenue
Dunkirk, NY 14048
(42.47449, -79.33764)"
South Buffalo Auto Parts,654 Elk Street,,Buffalo,NY,14210,Erie,9,7168221111,South Buffalo Auto Parts,Private,VDF - registration,[15V50053],Yes,187142,4753016,1 - No accuracy stated,End of Life Vehicles VDFs,15V50053,04/11/2019,04/11/2024,"654 Elk Street
Buffalo, NY 14210
(42.86588, -78.82963)"
SIMS Metal East LLC Middletown,820 Route 211 East,,Middletown,NY,10940,Orange,3,8456924640,Sims Metal East LLC,Private,VDF - registration,[36V50009],Yes,554282,4590679,,End of Life Vehicles VDFs,36V50009,02/13/2024,02/12/2029,"820 Route 211 East
Middletown, NY 10940
(41.47504, -74.46651)"
Broe Bank Sand & Gravel Mine,399 Hemlock Road,,Milford,NY,13820,Otsego,4,6074320611,Cobleskill Stone Products; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[39C24001],Yes,501171,4702133,,Asphalt Millings,39C24001,03/18/2025,03/17/2030,"399 Hemlock Road
Milford, NY 13820
(42.46732, -74.98726)"
Colchester (T) TS,13946 State Highway 30,,Downsville,NY,13755,Delaware,4,6073637169,Town of Colchester,Municipal,Transfer facility - source separated recyclables - registration,[13T32401],Yes,499385,4657734,1 - No accuracy stated,Commingled Paper;Corrugated Cardboard;Electronics,13T32401,09/15/2023,09/13/2028,"13946 State Highway 30
Downsville, NY 13755
(42.07191, -75.00755)"
Moss VanWie Farm,5381 State route 36,,Canisteo,NY,14823,Steuben,8,6073825660,Cliff Moss,Private,Storage - manure & food processing waste - registration,[51A20041],Yes,286484,4682048,4.3 - Utilization of Digital Orthophoto Quads,Food Scraps,51A20041,03/22/2023,03/22/2028,"5381 State route 36
Canisteo, NY 14823
(42.26118, -77.58809)"
Earth Waste and Metal,942 Mason Street,,Morrisonville,NY,12962,Clinton,5,5185613577,EWS Real Estate of NY; Inc.,Private,Scrap metal processor - registration,[10V30002],Yes,614163,4949170,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,10V30002,04/29/2020,04/29/2025,"942 Mason Street
Morrisonville, NY 12962
(44.68687, -73.5612)"
New Style Recycling Corp,49-10 Grand Avenue,,Maspeth,NY,11378,Queens,2,7183264175,Antoinette Cristina,Private,CDDHRF - permit,[41CP0053],Yes,591321,4507925,,Construction & Demolition Debris;Soil (Clean);Wood (Clean);Concrete;Metals (Non-Ferrous);Metals (Ferrous);Wood (Unadulterated);Paper / Cardboard;Plastics;Waste Tires;Wood (Unadulterated Pallets),2-6304-00021/00003,03/08/2022,03/08/2027,"49-10 Grand Avenue
Maspeth, NY 11378
(40.71745, -73.91915)"
Weedsport Joint Composting,2621 Earl St.,,Weedsport,NY,13166,Cayuga,7,3158346411,Village of Weedsport,Municipal,Composting - biosolids/other - permit,[06PP0028],Yes,372358,4767857,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,7-0522-00017/00007,08/29/2024,08/26/2034,"2621 Earl St.
Weedsport, NY 13166
(43.05155, -76.56837)"
Gershow Recycling of Huntington,149 West 11th Street,,Huntington Station,NY,11746,Suffolk,1,6313851200,Gershow Recycling Corporation,Private,Scrap metal processor - registration,[52V30412],Yes,632490,4522268,1 - No accuracy stated,Brass;Electric Motors;Copper;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,52-0412,11/21/2025,11/20/2030,"149 West 11th Street
Huntington Station, NY 11746
(40.84139, -73.42859)"
Village of Westbury Transfer Station,500 Dover Street,,Westbury,NY,11590,Nassau,1,5169976850,Village of Westbury,Municipal,Transfer facility - less than 50 tpd - registration,[30T10139],Yes,619840,4512889,1 - No accuracy stated,Tree Debris;Other - Mattresses;Leaves & Grass;Other - Non-putrescible MSW,30T10139,03/01/2021,03/01/2026,"500 Dover Street
Westbury, NY 11590
(40.75814, -73.58068)"
Tamarack Compost,5898 State Route 40,,Argyle,NY,12809,Washington,5,5188121940,Daniel Sill,,Composting - yard trimmings - registration,[58P10016],Yes,625433,4794691,,Yard Trimmings;Wood/Brush,58P10016,07/30/2024,07/29/2029,"5898 State Route 40
Argyle, NY 12809
(43.29467, -73.45385)"
South East Auto Recycle Inc,1492 Route 22,7 Wingdale Mountain Road,Wingdale,NY,12594,Dutchess,3,8458329448,Jorge Merchan,Private,VDF - registration,[14V50006],Yes,618854,4609510,,End of Life Vehicles VDFs,14V50006,11/13/2024,11/12/2027,"1492 Route 22
Wingdale, NY 12594
(41.62853, -73.57391)"
VS Construction Aggregate Recycling Facility,180 Roa Hook Road,,Cortlandt Manor,NY,10567,Westchester,3,9147397362,Armando Santucci,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[60C60001],Yes,587894,4572266,,Soil (Clean);Sand;Gravel;Rock,60C10001,09/01/2022,08/31/2023,"180 Roa Hook Road
Cortlandt Manor, NY 10567
(41.29804, -73.94834)"
Crushed Products Inc,320 Bridge Street,,Syracuse,NY,13209,Onondaga,7,3154686225,Crushed Products Inc.,Private,CDDHRF - storage only- concrete brick rock asphalt pavement - registration,[34C20017],Yes,400941,4768840,4 - GIS Assisted,Asphalt,34C10017,05/24/2023,05/24/2028,"320 Bridge Street
Syracuse, NY 13209
(43.06558, -76.21651)"
Plan It Waste & Recycling Inc,274 Greenfield Ave,,Ballston Spa,NY,12020,Saratoga,5,5188854100,Plan It Waste & Recycling Inc,Private,CDDHRF - uncontaminated unadulterated wood - registration,[46C50012],Yes,593071,4765277,4.1 - Address Matching,Wood (Unadulterated),46C50012,04/12/2022,04/11/2027,"274 Greenfield Ave
Ballston Spa, NY 12020
(43.03442, -73.8596)"
B&H Rail Transfer Station,417 Victory Highway,,Painted Post,NY,14870,Steuben,8,5853462090,B&H Rail Corporation,Private,Transfer facility - permit,[51TP0025],Yes,323826,4671590,,Construction & Demolition Debris,8-4642-00151/00001,03/18/2015,03/17/2025,"417 Victory Highway
Painted Post, NY 14870
(42.17842, -77.12983)"
Mom and Pop's Recycling; LLC,6643 Route  60,,Cassadaga,NY,14718,Chautauqua,9,7165952045,Patricia Rusiniak,Private,VDF - registration,[07V50050],Yes,640440,4683647,1 - No accuracy stated,End of Life Vehicles VDFs,07V50050,06/13/2024,06/13/2029,"6643 Route  60
Cassadaga, NY 14718
(42.29284, -79.29581)"
Westhampton Auto Salvage,2341 Quogue Riverhead Road,,East Quogue,NY,11942,Suffolk,1,6316534055,Kevin Schewire,Private,VDF - registration,[52V50306],Yes,701126,4526012,4.3 - Utilization of Digital Orthophoto Quads,End of Life Vehicles VDFs,52V50306,03/30/2021,03/29/2026,"2341 Quogue Riverhead Road
East Quogue, NY 11942
(40.8606, -72.61402)"
Santoro C&D Processing Facility,1287 Pangburn Road,,Rotterdam,NY,12306,Schenectady,4,5188574927,Gary Santoro,Private,RHRF - 5 tpd or less - registration,[47R12801],Yes,578753,4737044,,Concrete;Brick;Metal (Structural),47R12801,05/15/2019,05/15/2024,"1287 Pangburn Road
Rotterdam, NY 12306
(42.78192, -74.03779)"
C & H Salvage Corp,2837 Route 207,,Campbell Hall,NY,10916,Orange,3,8454272147,Joseph Innamorato,Private,VDF - registration,[36V50003],Yes,561532,4589599,,End of Life Vehicles VDFs,36V50003,10/24/2018,10/24/2023,"2837 Route 207
Campbell Hall, NY 10916
(41.45578, -74.26308)"
Truxton (T) Transfer Station,6514 Academy Street,,Truxton,NY,13159,Cortland,7,6078426984,Town of Truxton,Municipal,RHRF - registration,[12R10006],Yes,415747,4730586,4 - GIS Assisted,Commingled Containers;Container Glass;Commingled Paper;Paperboard/Boxboard,12T10006,05/03/2023,05/04/2028,"6514 Academy Street
Truxton, NY 13159
(42.72377, -76.02925)"
Inlet Recyclables Recovery Facility & Transfer Station,Limekiln Lake Road,County Route 14,Inlet,NY,13360,Hamilton,5,3153573867,Town of Inlet,Municipal,RHRF - registration,[21R10008],Yes,517259,4842534,,Container Glass;Mixed Commercial;Plastic,21R10008,07/29/2022,07/29/2027,
Catskill Transfer Station,183 Route 385,,Catskill,NY,12414,Greene,4,5189430341,Greene County,County,Transfer facility - permit,[20TP2601],Yes,594163,4676955,,MSW (Residential/Institutional & Commercial),4-1926-00109/00001,08/19/2016,08/18/2021,"183 Route 385
Catskill, NY 12414
(42.23719, -73.85737)"
Portville (V) WWTP,1 Dike Street,,Portville,NY,14770,Cattaraugus,9,7169336199,Village of Portville WWTP,Municipal,Composting - biosolids/other - permit,[05PP0029],Yes,223339,4659300,4 - GIS Assisted,,9-0474-00008/00003,12/15/2021,12/14/2031,"1 Dike Street
Portville, NY 14770
(42.0368, -78.33932)"
High Acres Western Expansion Landfill,425 Perinton Parkway,,Fairport,NY,14450,Monroe,8,5852236132,Waste Management of NY LLC,Private,Landfill - MSW - permit,[28S32],Yes,305919,4773094,,Treated RMW;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Industrial;Ash MSW Energy Recovery Fly;Sewage Treatment Plant Sludge;Petroleum Contaminated Soil,8-9908-00162/00032,10/04/2013,07/08/2023,"425 Perinton Parkway
Fairport, NY 14450
(43.08761, -77.38046)"
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,Composting - yard waste - permit,[33PP0002],Yes,484432,4772023,4.3 - Utilization of Digital Orthophoto Quads,Yard Trimmings;Wood (Chips),6-3016-00086/00001,11/01/2018,10/31/2023,"80 Leland Avenue
Utica, NY 13502
(43.10685, -75.21213)"
Warren W. Fane; Inc. - Perry Pit,449 State Route 40,,Schaghticoke,NY,12154,Rensselaer,4,5182355531,Warren W. Fane; Inc.,,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[42C94201],Yes,611550,4740849,3 - Global Positioning System (GPS),CARB (concrete; asphalt; rock; brick),42C94201,11/12/2024,11/11/2029,"449 State Route 40
Schaghticoke, NY 12154
(42.81281, -73.6348)"
Mike's Route 23 Auto Parts,19079 State Highway 23,,Davenport,NY,13750,Delaware,4,6072676254,Mike Oliver,Private,Motor vehicle repair shop - registration,[13V52602],Yes,516986,4701817,,End of Life Vehicles VDFs,13V52602,06/20/2019,06/20/2024,"19079 State Highway 23
Davenport, NY 13750
(42.46391, -74.78671)"
DSNY Pike Slip Household Special Waste Dropoff Facility,74 Pike Slip,,New York,NY,10002,New York,2,2124374657,NYC Dept of Sanitation,Municipal,Transfer station - registration,[31R24],Yes,585132,4507140,1 - No accuracy stated,Waste Oil (Other);Waste Tires,31R24,11/18/2015,,"74 Pike Slip
New York, NY 10002
(40.71061, -73.9921)"
Clinton County Landfill,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,CDDHRF - uncontaminated unadulterated wood - registration,[10C50004],Yes,611371,4949669,1.1 - Obtained from original submission and unverified process,Wood (Unadulterated),10C510004,07/26/2024,07/25/2029,"286 Sand Road
Morrisonville, NY 12962
(44.691, -73.59778)"
Clayton Transfer Station,36243 County Route 4,,Clayton (T),NY,13624,Jefferson,6,3156864310,Town of Clayton,Municipal,Transfer facility - source separated recyclables - registration,[23T30013],Yes,407708,4893948,4.2 - Utilization of GIS and existing spatial data,Container Glass;Commingled Paper & Containers;Waste Tires;Metals (Ferrous & Non-Ferrous),23T30013,04/09/2024,04/08/2029,"36243 County Route 4
Clayton (T), NY 13624
(44.19242, -76.15458)"
Northampton Transfer Station,326 County Route 113,,Northampton,NY,12134,Fulton,5,5187365501,Fulton County,Municipal,Transfer facility - less than 50 tpd - registration,[18T10005],Yes,569780,4784850,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics;Waste Oil (Other),18T10005,07/02/2023,07/01/2028,"326 County Route 113
Northampton, NY 12134
(43.21257, -74.14095)"
South County Transfer Station,2570 South Work Street,,Falconer,NY,14733,Chautauqua,9,7166656902,Chautauqua County DPF,County,Transfer station - permit,[07T19],Yes,154133,4670705,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Magazines;Junk Mail;Newspaper;Commingled Plastics,9-0638-00012/00002,01/25/2018,01/24/2028,"2570 South Work Street
Falconer, NY 14733
(42.11136, -79.18346)"
American Recyclers Co.; Inc,177 Wales Avenue,,Tonawanda,NY,14151,Erie,9,7166956720,Momentum of Buffalo; LLC,Private,Transfer facility - permit,[15TP0079],Yes,185552,4769900,4.2 - Utilization of GIS and existing spatial data,Industrial;Waste Oil (Other);Waste Tires;Used Oil;Used Oil Filters (drained),9-1416-00057/00001,12/30/2020,12/29/2030,"177 Wales Avenue
Tonawanda, NY 14151
(43.01647, -78.85902)"
Groff Land Clearing Debris Landfill,82 Brook Road,,Saratoga Springs,NY,12866,Saratoga,5,5185840586,Howard H. Jr & Cynthia P. Groff,Private,Landfill - land clearing debris,[46D06],Yes,595327,4770849,,Land Clearing Debris,46D06,05/09/1995,,"82 Brook Road
Saratoga Springs, NY 12866
(43.08526, -73.82833)"
WNY Scrap Processing; Inc.,1132 and 1140 Brant-Farnham Rd,,Brant,NY,14006,Erie,9,7165976372,WNY Scrap Processing; Inc.,Private,VDF - registration,[15V50006],Yes,169300,4723041,1 - No accuracy stated,End of Life Vehicles VDFs,15V50006,12/03/2025,12/03/2030,"1132 and 1140 Brant-Farnham Rd
Brant, NY 14006
(42.58839, -79.02951)"
Town of Webb Transfer Station,152 McCauley Mtn. Rd.,PO Box 157,Old Forge,NY,13420,Herkimer,6,3153693121,Oneida Herkimer SWMA,Municipal,RHRF - 5 tpd or less - registration,[22R10001],Yes,502137,4837921,1.1 - Obtained from original submission and unverified process,Single Stream,22R10001,05/11/2023,05/10/2028,"152 McCauley Mtn. Rd.
Old Forge, NY 13420
(43.69496, -74.97334)"
Sullivan County TS/MRF Monticello,132 Landfill Drive,,Monticello,NY,12701,Sullivan,3,8458070261,Sullivan County,County,Transfer facility - permit,[53TP0002],Yes,527801,4610407,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Waste Tires;Corrugated Cardboard;Newspaper;Metals (Ferrous & Non-Ferrous);Electronics,3-4846-00079/00031,05/31/2023,05/30/2028,"132 Landfill Drive
Monticello, NY 12701
(41.64291, -74.66195)"
Glenn O. Hawbaker Inc.,2175 Indian Hills Rd,,Erwin,NY,14870,Steuben,8,6075238484,Robert Hagerman,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[51C60014],Yes,322247,4663542,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Rock,51C60014,08/09/2024,08/09/2029,"2175 Indian Hills Rd
Erwin, NY 14870
(42.10431, -77.14553)"
Williamson Services LCD,12988 North Croghan Road,,Natural Bridge,NY,13665,Jefferson,6,3156444000,Williamson Services LLC,Private,Landfill - land clearing debris,[23D32],Yes,459461,4878669,4.3 - Utilization of Digital Orthophoto Quads,Wood (Trees/Stumps),23D32,08/25/2008,,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.06346, -75.49277)"
George Hall Junkyard,10790 Limburg Forks Rd,,Denmark (T),NY,13619,Lewis,6,3154932932,George and Judy Hall,Private,VDF - registration,[25V50013],Yes,449315,4866356,,End of Life Vehicles VDFs,25V50013,04/28/2021,04/27/2026,"10790 Limburg Forks Rd
Denmark (T), NY 13619
(43.9486, -75.63201)"
Webb LCD Landfill,Bisby Road,,Old Forge,NY,13420,Herkimer,6,3153693412,Town of Webb,,Landfill - land clearing debris,[22D07],Yes,502541,4837526,1 - No accuracy stated,,22D07,05/11/2004,,"Bisby Road
Old Forge, NY 13420
(43.693761, -74.976807)"
Warrensburg Transfer Station,1 Dump Rd,,Warrensburg,NY,12885,Warren,5,5186233096,Town of Warrensburg,Municipal,Transfer facility - less than 50 tpd - registration,[57T10022],Yes,597799,4817645,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Magazines;Newspaper;Commingled Paper & Containers;White Goods;Metals (Ferrous & Non-Ferrous),57T10022,03/31/2022,03/30/2027,"1 Dump Rd
Warrensburg, NY 12885
(43.50616, -73.78984)"
Jamestown Macadam; Inc.,75 Walden Avenue,,Jamestown,NY,14701,Chautauqua,9,7166645108,Jamestown Macadam; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[07C60071],Yes,147308,4670280,1 - No accuracy stated,Soil (Clean);Sand;Gravel,07C60071,12/04/2025,12/04/2030,"75 Walden Avenue
Jamestown, NY 14701
(42.10566, -79.26571)"
Kloiber Auto Recycling; Inc,10353 Darien Road,,Holland,NY,14080,Erie,9,7166554012,David Kloiber,Private,VDF - registration,[15V50038],Yes,204307,4731808,1 - No accuracy stated,End of Life Vehicles VDFs,15V50038,05/31/2024,05/31/2029,"10353 Darien Road
Holland, NY 14080
(42.68259, -78.6089)"
Lake Pleasant Transfer Station,2297 NYS Route 8,,Lake Pleasant,NY,12108,Hamilton,5,5185483867,Hamilton County,County,Transfer facility - less than 50 tpd - registration,[21T10005],Yes,544246,4811364,,MSW (Residential/Institutional & Commercial),21T10005,07/26/2022,07/26/2027,"2297 NYS Route 8
Lake Pleasant, NY 12108
(43.45275, -74.45108)"
R + M Gallo Auto LLC,2069 Drake Road,,Brockport,NY,14420,Monroe,8,5856375000,Richard Gallo,Private,VDF - registration,[28V51007],Yes,260745,4792022,,End of Life Vehicles VDFs,28ZV51007,10/30/2025,10/30/2030,"2069 Drake Road
Brockport, NY 14420
(43.24245, -77.94653)"
Greener Pastures Composting,4070 Stiver Hill Road,,Branchport,NY,14418,Yates,8,,Jonathan Hunt,Private,Composting - roadkill/mortalities - registration,[62P30011],Yes,321059,4716960,4.1 - Address Matching,Source Separated Organic Waste (SSOW);Yard Trimmings;Animal Carcasses,62P30011,01/14/2021,01/13/2026,"4070 Stiver Hill Road
Branchport, NY 14418
(42.58399, -77.1734)"
Fenix Parts - Syracuse,8572 Brewerton Road,,Cicero,NY,13039,Onondaga,7,3156994000,Fenix Parts Syracuse LLC,Private,VDF - registration,[34V50001],Yes,408787,4781945,,Scrap Metal - Ferrous ;Mercury Switches;Waste Tire;Lead-acid Batteries;End of Life Vehicles VDFs,34V50001,09/17/2025,09/16/2030,"8572 Brewerton Road
Cicero, NY 13039
(43.18455, -76.12279)"
Tucker's Auto Salvage,5125 State Route 11,,Burke,NY,12917,Franklin,5,5184835750,Raymond Tucker,Private,Motor vehicle repair shop - registration,[17V40005],Yes,563238,4974191,4 - GIS Assisted,End of Life Vehicles VDFs,17V40005,07/25/2019,07/25/2024,"5125 State Route 11
Burke, NY 12917
(44.9182, -74.1977)"
Hollenbeck Bros Auto Salvage,1433 State Route 30A,,Sloansville,NY,12160,Schoharie,4,5188682279,Kerrie Hollenbeck,Private,VDF - registration,[48V53001],Yes,554582,4734886,1 - No accuracy stated,Decommissioned ELVs SMPs,48V53001,02/17/2023,02/16/2028,"1433 State Route 30A
Sloansville, NY 12160
(42.76468, -74.33268)"
Industrial Landscape; LLC,94 Pumpkin Swamp Road,,Florida,NY,10921,Orange,3,8459887515,Robert Schreibeis Jr.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[36C90002],Yes,552477,4576474,4 - GIS Assisted,Concrete;Asphalt Pavement;Asphalt Millings,36C90002,06/11/2025,06/10/2026,"94 Pumpkin Swamp Road
Florida, NY 10921
(41.33863, -74.37238)"
St. Lawrence County Ogdensburg Transfer Station,522 CR 28A,,Ogdensburg,NY,13669,St. Lawrence,6,3153937501,St. Lawrence County,County,RHRF - registration,[45R20018],Yes,466376,4950800,4.1 - Address Matching,Single Stream;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Electronics;Textiles,6-4050-00034/00004,11/08/2022,11/03/2027,"522 CR 28A
Ogdensburg, NY 13669
(44.71058, -75.42356)"
Tompkins County Recycling and SW Center,160 Commercial Ave.,,Ithaca,NY,14850,Tompkins,7,6072732307,Tompkins County SWM Division,Municipal,RHRF - permit,[55RP0012],Yes,375068,4698011,4.3 - Utilization of Digital Orthophoto Quads,Commingled Recyclables,7-5007-00032/00002,07/16/2025,07/15/2035,"160 Commercial Ave.
Ithaca, NY 14850
(42.42403, -76.51829)"
Williamson Services,12988 North Croghan Road,,Natural Bridge,NY,13665,Lewis,6,3156444000,Williamson Services LLC,Private,RHRF - 5 tpd or less - registration,[25R10015],Yes,460533,4878986,4 - GIS Assisted,,6-2324-00118/00002,05/31/2018,05/30/2023,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.06346, -75.49277)"
Grist Iron Brewing LLC,4880 State Route 414,,Burdett,NY,14818,Schuyler,8,6078822739,Grist Iron Brewing LLC,Private,Land application - UFPW - registration,[49A30005],Yes,346544,4703680,4 - GIS Assisted,Non-recognizable Food Processing Waste,49A30005,02/05/2025,02/05/2030,"4880 State Route 414
Burdett, NY 14818
(42.46998, -76.86727)"
Juliano's Auto Parts Inc,4735 Route 14,,Sodus,NY,14551,Wayne,8,3154834607,Philip S. Juliano Sr.,Private,VDF - registration,[59V50006],Yes,338307,4782133,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Non-ferrous ;End of Life Vehicles VDFs;Scrap Metal - Ferrous,59V50006,06/11/2019,06/10/2024,"4735 Route 14
Sodus, NY 14551
(43.17301, -76.98776)"
Newcomb Transfer Station,Hudson River Dr,,Newcomb,NY,12852,Essex,5,5185823211,Town of Newcomb,County,RHRF - 5 tpd or less - registration,[16R10013],Yes,569433,4868058,4 - GIS Assisted,Container Glass;Mixed Commercial;Plastic,16R10013,07/29/2022,07/29/2027,
Roosevelt Pit,273 Roosevelt Road,,Bernhards Bay,NY,13042,Oswego,7,3156758264,Town of Constantia,,Landfill - land clearing debris,[38D06],Yes,425720,4792277,,Tree Debris,38D06,05/06/2016,,"273 Roosevelt Road
Bernhards Bay, NY 13042
(43.27981, -75.90458)"
Frontier Auto Wrecking Inc,493 Young Street,,Tonawanda,NY,14150,Erie,9,7166932240,Gene Gregoric,Private,VDF - registration,[15V50047],Yes,185098,4769157,1 - No accuracy stated,End of Life Vehicles VDFs,15V50047,02/03/2025,02/03/2030,"493 Young Street
Tonawanda, NY 14150
(43.00973, -78.86405)"
Beichner Waste Services; Inc,5786 Route 380,,Sinclairville,NY,14782,Chautauqua,9,7169621020,John S. Dixon,Private,Transfer facility - source separated recyclables - registration,[07T30041],Yes,142709,4686917,4.2 - Utilization of GIS and existing spatial data,Corrugated Cardboard,07T30041,01/03/2024,01/03/2029,"5786 Route 380
Sinclairville, NY 14782
(42.25216, -79.33024)"
Waste Recovery Enterprises Inc,122 Valley View Road,,Unadilla,NY,13849,Otsego,4,6075632616,National Waste Management Holdings; Inc.,Private,CDDHRF - permit,[39CP6255],Yes,466595,4685459,1 - No accuracy stated,,4-3662-00002/00007,01/27/2021,01/26/2031,"122 Valley View Road
Unadilla, NY 13849
(42.32184, -75.40668)"
Otsego County Chapter NYSARC; Inc.,23 Duane Street,,Oneonta,NY,13820,Otsego,4,6073537831,Otsego County Chaper NYSARC; Inc.,County,RHRF - registration,[39R11201],Yes,493264,4699363,4 - GIS Assisted,Foam (from seat cushions),39R11201,02/28/2024,02/27/2029,"23 Duane Street
Oneonta, NY 13820
(42.44674, -75.08181)"
Timpson Trading Corp.,671 Timpson Place,,Bronx,NY,10455,Bronx,2,7189930018,Timpson Trading Corp,,Scrap metal processor - registration,[03V30134],Yes,592786,4518553,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Copper;Lead-acid Batteries,03V30134,07/22/2025,07/21/2030,"671 Timpson Place
Bronx, NY 10455
(40.81251, -73.89992)"
Middletown TS (T),46530 NY-30,,Margaretville,NY,12455,Delaware,4,8458564533,Town of Middletown,Municipal,Transfer facility - source separated recyclables - registration,[13T34601],Yes,533264,4671652,1 - No accuracy stated,Commingled Paper;Commingled Paper & Containers;Commingled Plastics;Container Glass;Corrugated Cardboard,13T34601,10/16/2023,10/15/2028,
Corazzini Asphalt; Inc.,6245 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317345600,Corazzini Asphalt; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[52C60280],Yes,710319,4545262,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Sand;Gravel,52C20280,12/04/2024,12/03/2029,"6245 Cox Lane
Cutchogue, NY 11935
(41.03179, -72.49831)"
Nathan H Kelman Inc,41 Euclid Street,,Cohoes,NY,12047,Albany,4,5182375133,Nathan H. Kelman Inc.,Private,VDF - registration,[01V50301],Yes,606550,4735166,,End of Life Vehicles VDFs,01V50301,12/04/2024,12/03/2029,"41 Euclid Street
Cohoes, NY 12047
(42.76169, -73.69767)"
Mom and Pop's Recycling; LLC,6643 Route  60,,Cassadaga,NY,14718,Chautauqua,9,7165952045,Patricia Rusiniak,Private,Scrap metal processor - registration,[07V30050],Yes,145684,4691286,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,07V30050,06/13/2024,06/13/2029,"6643 Route  60
Cassadaga, NY 14718
(42.29284, -79.29581)"
Baskin Livestock Inc.,9778 Creek Rd.,,Batavia,NY,14020,Genesee,8,5853444452,William Baskin,Private,Animal feed production - registration,[14P70019],Yes,729843,4758234,,Source Separated Organic Waste (SSOW);Food Scraps;Non-recognizable Food Processing Waste;Wood/Brush,14P70019,07/27/2021,07/27/2026,"9778 Creek Rd.
Batavia, NY 14020
(42.94047, -78.18668)"
JMI Stow Site SWMF,3357 Route 394,,North Harmony,NY,1710,Chautauqua,9,7166645108,Jamestown Macadam; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[07C90066],Yes,135657,4675809,4.2 - Utilization of GIS and existing spatial data,Brick;Concrete;Rock;Asphalt Millings;Asphalt Pavement,07C90066,12/21/2023,12/21/2028,"3357 Route 394
North Harmony, NY 1710
(42.15005, -79.40674)"
